x(m),y(m),pressure(Pa)
10,0,-2.52613554176845e-14
9.85507246376812,0,-7.96939815079985e-14
9.71014492753623,0,-2.46191176001373e-13
9.56521739130435,0,-7.44727727615996e-13
9.42028985507246,0,-2.20597530988246e-12
9.27536231884058,0,-6.39855420870412e-12
9.1304347826087,0,-1.81736074343332e-11
8.98550724637681,0,-5.05450364915058e-11
8.84057971014493,0,-1.37655626991825e-10
8.69565217391304,0,-3.67102638592846e-10
8.55072463768116,0,-9.58647901548212e-10
8.40579710144928,0,-2.45136978369773e-09
8.26086956521739,0,-6.13813751511708e-09
8.11594202898551,0,-1.50502073005081e-08
7.97101449275362,0,-3.61348646784361e-08
7.82608695652174,0,-8.49549064783382e-08
7.68115942028986,0,-1.95581864652499e-07
7.53623188405797,0,-4.40906784084336e-07
7.39130434782609,0,-9.73291796380042e-07
7.2463768115942,0,-2.10386286091366e-06
7.10144927536232,0,-4.45317614771792e-06
6.95652173913043,0,-9.2299724341168e-06
6.81159420289855,0,-1.87330726098353e-05
6.66666666666667,0,-3.72302293531501e-05
6.52173913043478,0,-7.24536868261238e-05
6.3768115942029,0,-0.000138071279734122
6.23188405797101,0,-0.000257646527510707
6.08695652173913,0,-0.000470785761582373
5.94202898550725,0,-0.000842365222304909
5.79710144927536,0,-0.00147589553830414
5.65217391304348,0,-0.00253214688145799
5.50724637681159,0,-0.00425402708787575
5.36231884057971,0,-0.00699825383191256
5.21739130434783,0,-0.0112734596039724
5.07246376811594,0,-0.0177829094893383
4.92753623188406,0,-0.027467966295581
4.78260869565217,0,-0.0415459100338766
4.63768115942029,0,-0.0615330056956982
4.49275362318841,0,-0.0892413364403838
4.34782608695652,0,-0.126736609372595
4.20289855072464,0,-0.17624474855559
4.05797101449275,0,-0.239998412794866
3.91304347826087,0,-0.320021116715775
3.76811594202899,0,-0.417856330281399
3.6231884057971,0,-0.534260932819674
3.47826086956522,0,-0.668894974468393
3.33333333333333,0,-0.820050373379968
3.18840579710145,0,-0.984467109231626
3.04347826086957,0,-1.15728406744929
2.89855072463768,0,-1.33216132127891
2.7536231884058,0,-1.50159131760543
2.60869565217391,0,-1.65739017381652
2.46376811594203,0,-1.79133104942425
2.31884057971014,0,-1.89585461605034
2.17391304347826,0,-1.96477258516554
2.02898550724638,0,-1.99387363998588
1.88405797101449,0,-1.98134934938608
1.73913043478261,0,-1.92798017643043
1.59420289855072,0,-1.83705498080747
1.44927536231884,0,-1.71403555863459
1.30434782608696,0,-1.56601379358582
1.15942028985507,0,-1.40103640870965
1.01449275362319,0,-1.22738650103816
0.869565217391304,0,-1.05291023264054
0.72463768115942,0,-0.884462517853455
0.579710144927536,0,-0.72752111450619
0.434782608695652,0,-0.585989526875252
0.289855072463768,0,-0.462181107398326
0.144927536231884,0,-0.35695429033196
0,0,-0.26995483256594
10,0.416666666666667,-2.52613554176845e-14
9.85507246376812,0.416666666666667,-7.96939815079985e-14
9.71014492753623,0.416666666666667,-2.46191176001373e-13
9.56521739130435,0.416666666666667,-7.44727727615996e-13
9.42028985507246,0.416666666666667,-2.20597530988246e-12
9.27536231884058,0.416666666666667,-6.39855420870412e-12
9.1304347826087,0.416666666666667,-1.81736074343332e-11
8.98550724637681,0.416666666666667,-5.05450364915058e-11
8.84057971014493,0.416666666666667,-1.37655626991825e-10
8.69565217391304,0.416666666666667,-3.67102638592846e-10
8.55072463768116,0.416666666666667,-9.58647901548212e-10
8.40579710144928,0.416666666666667,-2.45136978369773e-09
8.26086956521739,0.416666666666667,-6.13813751511708e-09
8.11594202898551,0.416666666666667,-1.50502073005081e-08
7.97101449275362,0.416666666666667,-3.61348646784361e-08
7.82608695652174,0.416666666666667,-8.49549064783382e-08
7.68115942028986,0.416666666666667,-1.95581864652499e-07
7.53623188405797,0.416666666666667,-4.40906784084336e-07
7.39130434782609,0.416666666666667,-9.73291796380042e-07
7.2463768115942,0.416666666666667,-2.10386286091366e-06
7.10144927536232,0.416666666666667,-4.45317614771792e-06
6.95652173913043,0.416666666666667,-9.2299724341168e-06
6.81159420289855,0.416666666666667,-1.87330726098353e-05
6.66666666666667,0.416666666666667,-3.72302293531501e-05
6.52173913043478,0.416666666666667,-7.24536868261238e-05
6.3768115942029,0.416666666666667,-0.000138071279734122
6.23188405797101,0.416666666666667,-0.000257646527510707
6.08695652173913,0.416666666666667,-0.000470785761582373
5.94202898550725,0.416666666666667,-0.000842365222304909
5.79710144927536,0.416666666666667,-0.00147589553830414
5.65217391304348,0.416666666666667,-0.00253214688145799
5.50724637681159,0.416666666666667,-0.00425402708787575
5.36231884057971,0.416666666666667,-0.00699825383191256
5.21739130434783,0.416666666666667,-0.0112734596039724
5.07246376811594,0.416666666666667,-0.0177829094893383
4.92753623188406,0.416666666666667,-0.027467966295581
4.78260869565217,0.416666666666667,-0.0415459100338766
4.63768115942029,0.416666666666667,-0.0615330056956982
4.49275362318841,0.416666666666667,-0.0892413364403838
4.34782608695652,0.416666666666667,-0.126736609372595
4.20289855072464,0.416666666666667,-0.17624474855559
4.05797101449275,0.416666666666667,-0.239998412794866
3.91304347826087,0.416666666666667,-0.320021116715775
3.76811594202899,0.416666666666667,-0.417856330281399
3.6231884057971,0.416666666666667,-0.534260932819674
3.47826086956522,0.416666666666667,-0.668894974468393
3.33333333333333,0.416666666666667,-0.820050373379968
3.18840579710145,0.416666666666667,-0.984467109231626
3.04347826086957,0.416666666666667,-1.15728406744929
2.89855072463768,0.416666666666667,-1.33216132127891
2.7536231884058,0.416666666666667,-1.50159131760543
